,php-usd-rate,PSE-index-Close,Consumer Price Index  - all items,Consumer Price Index -Alcoholic beverages and tobacco,Consumer Price Index -transport,"Consumer Price Index -Housing, water, electricity, gas, and other fuels",Consumer Price Index -Restaurant and miscellaneous goods and services,inflation rate,savings deposit interest rate,bank lending rates
php-usd-rate,1.0,-0.7191717327221899,-0.7406513131194656,-0.6415962525546578,-0.7353128901178614,-0.7034613296194656,-0.6790798913464925,0.913045124001068,0.7876601901416239,0.7195730462014933
PSE-index-Close,-0.7191717327221899,1.0,0.3691397101371401,0.2381426256934416,0.3544086820156971,0.3348572522853329,0.287577786159256,-0.6676215827790438,-0.6914445502545349,-0.7372924069998875
Consumer Price Index  - all items,-0.7406513131194656,0.3691397101371401,1.0,0.9797853777040544,0.9995715161868904,0.997177785254868,0.9947116384239835,-0.8111335091475702,-0.6562240150217118,-0.4655110764876838
Consumer Price Index -Alcoholic beverages and tobacco,-0.6415962525546578,0.2381426256934416,0.9797853777040544,1.0,0.9818315388077467,0.9804657947588561,0.9872327198006532,-0.7127271121769168,-0.566701814534077,-0.3384126448458895
Consumer Price Index -transport,-0.7353128901178614,0.3544086820156971,0.9995715161868904,0.9818315388077467,1.0,0.9972412368082312,0.9954924633262414,-0.8056606468844173,-0.6519673274449591,-0.45924809007570155
"Consumer Price Index -Housing, water, electricity, gas, and other fuels",-0.7034613296194656,0.3348572522853329,0.997177785254868,0.9804657947588561,0.9972412368082312,1.0,0.9980887194457724,-0.7747266265644084,-0.6137562971941833,-0.42291714196642166
Consumer Price Index -Restaurant and miscellaneous goods and services,-0.6790798913464925,0.287577786159256,0.9947116384239835,0.9872327198006532,0.9954924633262414,0.9980887194457724,1.0,-0.7550121315440165,-0.5906092878025394,-0.3912302614531088
inflation rate,0.913045124001068,-0.6676215827790438,-0.8111335091475702,-0.7127271121769168,-0.8056606468844173,-0.7747266265644084,-0.7550121315440165,1.0,0.8991751709642791,0.8108812596093983
savings deposit interest rate,0.7876601901416239,-0.6914445502545349,-0.6562240150217118,-0.566701814534077,-0.6519673274449591,-0.6137562971941833,-0.5906092878025394,0.8991751709642791,1.0,0.9485470639193387
bank lending rates,0.7195730462014933,-0.7372924069998875,-0.4655110764876838,-0.3384126448458895,-0.45924809007570155,-0.42291714196642166,-0.3912302614531088,0.8108812596093983,0.9485470639193387,1.0
