,Precip (mm),Residential Building,"Labor,Not in the Labor Force","Poverty,poverty incidence by household",Pressure (mb),Consumer Price Index -Restaurant and miscellaneous goods and services,inflation rate,PSE-index-Close,bank lending rates,savings deposit interest rate,Wind (km/h),"Consumer Price Index -Housing, water, electricity, gas, and other fuels",Consumer Price Index -transport,Consumer Price Index  - all items,Consumer Price Index -Alcoholic beverages and tobacco,Temp (deg celsius),Cloud,Feels Like (deg celsius),php-usd-rate,Humidity
Precip (mm),1.0,0.03458598627602863,-0.061800667784378746,-0.061850504580723185,0.0117501259210089,-0.04290661140325225,0.07806587211384175,0.031318413343528376,0.07918162190613814,0.12180170311927091,0.049910580394975736,-0.038226589497291893,-0.051258807236865635,-0.04619771168987523,-0.06032923939292124,-0.1437118094645919,0.33532987402313685,-0.06180560985877883,0.017830550506071075,0.14006671564943635
Residential Building,0.03458598627602863,1.0,0.427004167193389,0.42697903021816247,-0.05773848884045239,0.023559861514685525,-0.032136594189163654,0.0005918695337781208,0.005144097718093237,0.004210309060570699,0.0005665728627253778,0.029490452815709077,0.024090948781602874,0.022092027631664957,0.007319376523600506,-0.02938076644574246,0.018819192777897228,-0.04416085496387339,-0.0434634504575849,0.024893155409263134
"Labor,Not in the Labor Force",-0.061800667784378746,0.427004167193389,1.0,0.9999994881268637,0.09042262128532363,0.04048256667856669,-0.041689862236217574,-0.0343710436601324,-0.0034459020496293317,-0.036786262887163065,-0.06804904399070281,0.0372375150960777,0.03970277904486293,0.038517134213977684,0.0437495273165135,0.003944646810268478,0.0232883546773209,-0.04909151163109581,0.007454943406808357,0.03876903605623718
"Poverty,poverty incidence by household",-0.061850504580723185,0.42697903021816247,0.9999994881268637,1.0,0.09034554004280493,0.040548937683685865,-0.04170600602680174,-0.03438342268253571,-0.0034464939119981945,-0.036798687724581704,-0.06793294995146272,0.03730415731221974,0.03976278260148749,0.03857790138537052,0.043814693817881875,0.004020016070160944,0.023362282350458907,-0.048976502036183686,0.00744928019008138,0.03866241475726859
Pressure (mb),0.0117501259210089,-0.05773848884045239,0.09042262128532363,0.09034554004280493,1.0,-0.031379544118737016,-0.06918504098427386,0.05496294195777971,-0.1854795286869945,-0.11423162914727573,-0.10255813253829457,-0.024817750640246616,-0.02100770520475613,-0.020530390327446583,-0.07452489597361235,-0.19261433077569984,-0.1821012431269185,-0.27777382471601764,-0.04794668875772943,0.3263537890759662
Consumer Price Index -Restaurant and miscellaneous goods and services,-0.04290661140325225,0.023559861514685525,0.04048256667856669,0.040548937683685865,-0.031379544118737016,1.0,-0.7550121315440165,0.287577786159256,-0.3912302614531088,-0.5906092878025394,6.422522836542377e-05,0.9980887194457724,0.9954924633262414,0.9947116384239835,0.9872327198006532,0.2864317599133932,-0.18402145477331655,0.21626888052521825,-0.6790798913464925,-0.0077189149638511876
inflation rate,0.07806587211384175,-0.032136594189163654,-0.041689862236217574,-0.04170600602680174,-0.06918504098427386,-0.7550121315440165,1.0,-0.6676215827790438,0.8108812596093983,0.8991751709642791,-0.009156167845195875,-0.7747266265644084,-0.8056606468844173,-0.8111335091475702,-0.7127271121769168,-0.3349683337469606,0.18287891946131546,-0.1656161072791643,0.913045124001068,-0.07129741477078358
PSE-index-Close,0.031318413343528376,0.0005918695337781208,-0.0343710436601324,-0.03438342268253571,0.05496294195777971,0.287577786159256,-0.6676215827790438,1.0,-0.7372924069998875,-0.6914445502545349,0.10309169536431169,0.3348572522853329,0.3544086820156971,0.3691397101371401,0.2381426256934416,-0.02832271173576148,-0.045893008218359996,-0.16119879254835642,-0.7191717327221899,0.22599520754122238
bank lending rates,0.07918162190613814,0.005144097718093237,-0.0034459020496293317,-0.0034464939119981945,-0.1854795286869945,-0.3912302614531088,0.8108812596093983,-0.7372924069998875,1.0,0.9485470639193387,-0.06167921871459488,-0.42291714196642166,-0.45924809007570155,-0.4655110764876838,-0.3384126448458895,-0.19183581588364026,0.07853683837891261,-0.026988584611843208,0.7195730462014933,-0.11342472276083773
savings deposit interest rate,0.12180170311927091,0.004210309060570699,-0.036786262887163065,-0.036798687724581704,-0.11423162914727573,-0.5906092878025394,0.8991751709642791,-0.6914445502545349,0.9485470639193387,1.0,-0.036260926704969665,-0.6137562971941833,-0.6519673274449591,-0.6562240150217118,-0.566701814534077,-0.2521088657537435,0.12033608340715826,-0.061213210115876084,0.7876601901416239,-0.08732160130477054
Wind (km/h),0.049910580394975736,0.0005665728627253778,-0.06804904399070281,-0.06793294995146272,-0.10255813253829457,6.422522836542377e-05,-0.009156167845195875,0.10309169536431169,-0.06167921871459488,-0.036260926704969665,1.0,0.0031728909897853932,-0.00337899994479628,0.0009946147929564557,-0.014127052864551284,0.13193764961916224,-0.016177346620116318,0.2033392207080911,-0.014109075173937696,-0.200725117716277
"Consumer Price Index -Housing, water, electricity, gas, and other fuels",-0.038226589497291893,0.029490452815709077,0.0372375150960777,0.03730415731221974,-0.024817750640246616,0.9980887194457724,-0.7747266265644084,0.3348572522853329,-0.42291714196642166,-0.6137562971941833,0.0031728909897853932,1.0,0.9972412368082312,0.997177785254868,0.9804657947588561,0.27541729348861904,-0.1813735051328135,0.1979851511112064,-0.7034613296194656,0.008517606697037048
Consumer Price Index -transport,-0.051258807236865635,0.024090948781602874,0.03970277904486293,0.03976278260148749,-0.02100770520475613,0.9954924633262414,-0.8056606468844173,0.3544086820156971,-0.45924809007570155,-0.6519673274449591,-0.00337899994479628,0.9972412368082312,1.0,0.9995715161868904,0.9818315388077467,0.2938630145730927,-0.18633044177566843,0.20283735653140408,-0.7353128901178614,0.010739534107373905
Consumer Price Index  - all items,-0.04619771168987523,0.022092027631664957,0.038517134213977684,0.03857790138537052,-0.020530390327446583,0.9947116384239835,-0.8111335091475702,0.3691397101371401,-0.4655110764876838,-0.6562240150217118,0.0009946147929564557,0.997177785254868,0.9995715161868904,1.0,0.9797853777040544,0.2920866971089042,-0.18806585993881564,0.20106029514992468,-0.7406513131194656,0.01291885316454387
Consumer Price Index -Alcoholic beverages and tobacco,-0.06032923939292124,0.007319376523600506,0.0437495273165135,0.043814693817881875,-0.07452489597361235,0.9872327198006532,-0.7127271121769168,0.2381426256934416,-0.3384126448458895,-0.566701814534077,-0.014127052864551284,0.9804657947588561,0.9818315388077467,0.9797853777040544,1.0,0.2788982967541136,-0.16823600380487802,0.20575834013109953,-0.6415962525546578,-0.015230638161032572
Temp (deg celsius),-0.1437118094645919,-0.02938076644574246,0.003944646810268478,0.004020016070160944,-0.19261433077569984,0.2864317599133932,-0.3349683337469606,-0.02832271173576148,-0.19183581588364026,-0.2521088657537435,0.13193764961916224,0.27541729348861904,0.2938630145730927,0.2920866971089042,0.2788982967541136,1.0,-0.2832988741384216,0.8546107185607078,-0.2584545520157143,-0.7843165063838199
Cloud,0.33532987402313685,0.018819192777897228,0.0232883546773209,0.023362282350458907,-0.1821012431269185,-0.18402145477331655,0.18287891946131546,-0.045893008218359996,0.07853683837891261,0.12033608340715826,-0.016177346620116318,-0.1813735051328135,-0.18633044177566843,-0.18806585993881564,-0.16823600380487802,-0.2832988741384216,1.0,-0.17172623323993036,0.1476415113031157,0.16175307497502142
Feels Like (deg celsius),-0.06180560985877883,-0.04416085496387339,-0.04909151163109581,-0.048976502036183686,-0.27777382471601764,0.21626888052521825,-0.1656161072791643,-0.16119879254835642,-0.026988584611843208,-0.061213210115876084,0.2033392207080911,0.1979851511112064,0.20283735653140408,0.20106029514992468,0.20575834013109953,0.8546107185607078,-0.17172623323993036,1.0,-0.10212628745158916,-0.8555717175273566
php-usd-rate,0.017830550506071075,-0.0434634504575849,0.007454943406808357,0.00744928019008138,-0.04794668875772943,-0.6790798913464925,0.913045124001068,-0.7191717327221899,0.7195730462014933,0.7876601901416239,-0.014109075173937696,-0.7034613296194656,-0.7353128901178614,-0.7406513131194656,-0.6415962525546578,-0.2584545520157143,0.1476415113031157,-0.10212628745158916,1.0,-0.12669166434682178
Humidity,0.14006671564943635,0.024893155409263134,0.03876903605623718,0.03866241475726859,0.3263537890759662,-0.0077189149638511876,-0.07129741477078358,0.22599520754122238,-0.11342472276083773,-0.08732160130477054,-0.200725117716277,0.008517606697037048,0.010739534107373905,0.01291885316454387,-0.015230638161032572,-0.7843165063838199,0.16175307497502142,-0.8555717175273566,-0.12669166434682178,1.0
