,time_epoch_After Midnight,time_epoch_After Work-Hours,time_epoch_Afternoon,time_epoch_Early Morning,time_epoch_Evening,time_epoch_Morning,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,day_night_daylight,day_night_nighttime
time_epoch_After Midnight,1.0,-0.26428245941166956,-0.21337278897522247,-0.26428245941166956,-0.2877855326810458,-0.20139687085076147,0.056911527919392975,0.012452305712654922,-0.0488492259025793,-0.04657460905372653,0.029292999475535077,-0.05115344005476492,0.05729655630547076,-0.42690119053363046,0.42690119053363046
time_epoch_After Work-Hours,-0.26428245941166956,1.0,-0.1602682638874988,-0.1985074626865665,-0.2161610574443363,-0.15127292940513967,0.011899999239812541,-0.013089691475003095,0.04216644725035585,0.032606972562959545,0.0027353182182774283,-0.034222197152406,-0.039259336187983225,0.03969232035193114,-0.03969232035193111
time_epoch_Afternoon,-0.21337278897522247,-0.1602682638874988,1.0,-0.16026826388749885,-0.1745211838780627,-0.12213268680592987,-0.020746497552114156,0.006596965211108266,-0.014485247926759131,-0.015337743158710334,0.023090225511834424,-0.014250064051528422,0.0329221046439385,0.4998177416851482,-0.4998177416851482
time_epoch_Early Morning,-0.26428245941166956,-0.1985074626865665,-0.16026826388749885,1.0,-0.21616105744433667,-0.15127292940514003,-0.009991637391503574,0.024890515406397445,0.06188094922533996,-0.030097027702656248,0.012368917030894456,0.0027386963423913935,-0.05792437287179072,0.018495512609124125,-0.018495512609124114
time_epoch_Evening,-0.2877855326810458,-0.2161610574443363,-0.1745211838780627,-0.21616105744433667,1.0,-0.1647258795229686,-0.020773964927945743,-0.02060612860841193,-0.04093678582651652,0.06170959526957589,-0.05955202341067011,0.06282796665114095,0.006666789751690335,-0.3491696458986449,0.3491696458986449
time_epoch_Morning,-0.20139687085076147,-0.15127292940513967,-0.12213268680592987,-0.15127292940514003,-0.1647258795229686,1.0,-0.035853892856945825,-0.012677517910341614,0.011317360462894393,0.0005040125077444165,-0.007998776853451189,0.046032943418070724,-0.006954042079869056,0.47176460341797,-0.47176460341797
day_Friday,0.056911527919392975,0.011899999239812541,-0.020746497552114156,-0.009991637391503574,-0.020773964927945743,-0.035853892856945825,1.0,-0.14115818670870028,-0.13401779459333427,-0.15365753109618788,-0.13832155869934246,-0.1467625866292174,-0.14467102458458275,-0.040015535618574974,0.04001553561857496
day_Monday,0.012452305712654922,-0.013089691475003095,0.006596965211108266,0.024890515406397445,-0.02060612860841193,-0.012677517910341614,-0.14115818670870028,1.0,-0.1619265795071945,-0.1856562294688249,-0.1671265889746442,-0.17732543446644417,-0.17479831119343012,0.015464573255070928,-0.015464573255070902
day_Saturday,-0.0488492259025793,0.04216644725035585,-0.014485247926759131,0.06188094922533996,-0.04093678582651652,0.011317360462894393,-0.13401779459333427,-0.1619265795071945,1.0,-0.17626493373191002,-0.15867260266320476,-0.1683555464022759,-0.16595625596356836,0.019240358862509452,-0.019240358862509445
day_Sunday,-0.04657460905372653,0.032606972562959545,-0.015337743158710334,-0.030097027702656248,0.06170959526957589,0.0005040125077444165,-0.15365753109618788,-0.1856562294688249,-0.17626493373191002,1.0,-0.18192539618949027,-0.19302733405679784,-0.19027643783206244,-0.056643307832002915,0.056643307832002915
day_Thursday,0.029292999475535077,0.0027353182182774283,0.023090225511834424,0.012368917030894456,-0.05955202341067011,-0.007998776853451189,-0.13832155869934246,-0.1671265889746442,-0.15867260266320476,-0.18192539618949027,1.0,-0.1737620117142331,-0.17128567195456323,0.018446361233214324,-0.018446361233214324
day_Tuesday,-0.05115344005476492,-0.034222197152406,-0.014250064051528422,0.0027386963423913935,0.06282796665114095,0.046032943418070724,-0.1467625866292174,-0.17732543446644417,-0.1683555464022759,-0.19302733405679784,-0.1737620117142331,1.0,-0.18173832412644123,0.02425248772890131,-0.024252487728901585
day_Wednesday,0.05729655630547076,-0.039259336187983225,0.0329221046439385,-0.05792437287179072,0.006666789751690335,-0.006954042079869056,-0.14467102458458275,-0.17479831119343012,-0.16595625596356836,-0.19027643783206244,-0.17128567195456323,-0.18173832412644123,1.0,0.01735043450801421,-0.0173504345080142
day_night_daylight,-0.42690119053363046,0.03969232035193114,0.4998177416851482,0.018495512609124125,-0.3491696458986449,0.47176460341797,-0.040015535618574974,0.015464573255070928,0.019240358862509452,-0.056643307832002915,0.018446361233214324,0.02425248772890131,0.01735043450801421,1.0,-1.0
day_night_nighttime,0.42690119053363046,-0.03969232035193111,-0.4998177416851482,-0.018495512609124114,0.3491696458986449,-0.47176460341797,0.04001553561857496,-0.015464573255070902,-0.019240358862509445,0.056643307832002915,-0.018446361233214324,-0.024252487728901585,-0.0173504345080142,-1.0,1.0
